sep=;
Instância;P1(ALGORITMO);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(POPULACAO);P7(PROB_CRUZAR);P8(PROB_MUTAR);P9(SELECAO);P10(PRESSAO);P11(TAMANHO_TORNEIO);P12(PROB_MELHOR_TORNEIO);P13(SOBREVIVENCIA);P14(PERC_DESCENDENTES);P15(Q_ROUND_ROBIN);P16(ELITISMO);P17(IMIGRANTES);P18(DIVERSIDADE);P19(DIST_MINIMA);P20(MOVE_PRIMEIRO);P21(TIPO_CRUZAR);P22(TIPO_MUTAR);P23(TIPO_VIZINHO);P24(LIMITE_VIZINHOS);P25(TIPO_DISTANCIA);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Épocas);I5(Gerações);
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2841;689898;32461;722358;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1786;403174;18973;422146;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3443;695640;32722;728361;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3419;676772;31860;708631;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;5700;1000002;47056;1047057;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;5913;1000013;47060;1047072;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2951;458090;21565;479654;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;7017;1000002;47070;1047071;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2527;347321;16343;363663;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;7800;1000014;47080;1047093;
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;409;96896;3090;99985;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;315;73161;2335;75495;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1357;266198;8492;274689;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;5437;1000027;31902;1031928;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;5528;948820;30279;979098;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;5755;924722;29512;954233;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;605;91913;2937;94849;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1122;156408;4996;161403;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1830;235294;7518;242811;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;30;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;8083;1000021;31926;1031946;
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;378;88492;1721;90212;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2228;459097;8933;468029;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;479;83864;1630;85493;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2135;372169;7241;379409;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1733;288354;5609;293962;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;4268;681565;13271;694835;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;1834;255176;4967;260142;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3862;520783;10127;530909;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;8031;1000051;19455;1019505;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;50;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;8362;1000004;19470;1019473;
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;4781;1000026;9863;1009888;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;5212;1000022;9851;1009872;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;995;180408;1778;182185;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;2545;443462;4374;447835;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;6198;1000092;9857;1009948;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;6611;1000088;9859;1009946;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;7333;1000049;9851;1009899;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;7831;1000041;9858;1009898;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;8156;1000053;9869;1009921;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;100;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;8644;1000008;9852;1009859;
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;683;134553;667;135219;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3523;643681;3193;646873;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;6022;1000099;4966;1005064;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;0;3161;493379;2447;495825;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;7639;1000141;4961;1005101;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;7984;1000136;4964;1005099;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;7828;1000021;4963;1004983;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;8327;1000009;4961;1004969;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;8961;1000126;4967;1005092;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;200;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;9165;1000090;4966;1005055;
