sep=;
Instância;P1(ALGORITMO);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(POPULACAO);P7(PROB_CRUZAR);P8(PROB_MUTAR);P9(SELECAO);P10(PRESSAO);P11(TAMANHO_TORNEIO);P12(PROB_MELHOR_TORNEIO);P13(SOBREVIVENCIA);P14(PERC_DESCENDENTES);P15(Q_ROUND_ROBIN);P16(ELITISMO);P17(IMIGRANTES);P18(DIVERSIDADE);P19(DIST_MINIMA);P20(MOVE_PRIMEIRO);P21(TIPO_CRUZAR);P22(TIPO_MUTAR);P23(TIPO_VIZINHO);P24(LIMITE_VIZINHOS);P25(TIPO_DISTANCIA);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Épocas);I5(Gerações);
17;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;3485;1000011;89899;1089909;
18;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;3534;1000005;89909;1089913;
19;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;4055;1000005;89899;1089903;
20;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;4741;1000008;89889;1089896;
21;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;4911;1000001;89930;1089930;
22;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;5165;1000003;89926;1089928;
23;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;5487;1000005;89938;1089942;
24;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;5905;1000007;89944;1089950;
25;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;6236;1000001;89929;1089929;
26;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;10;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;6746;1000009;89952;1089960;
