sep=;
Instância;P1(ALGORITMO);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(POPULACAO);P7(PROB_CRUZAR);P8(PROB_MUTAR);P9(SELECAO);P10(PRESSAO);P11(TAMANHO_TORNEIO);P12(PROB_MELHOR_TORNEIO);P13(SOBREVIVENCIA);P14(PERC_DESCENDENTES);P15(Q_ROUND_ROBIN);P16(ELITISMO);P17(IMIGRANTES);P18(DIVERSIDADE);P19(DIST_MINIMA);P20(MOVE_PRIMEIRO);P21(TIPO_CRUZAR);P22(TIPO_MUTAR);P23(TIPO_VIZINHO);P24(LIMITE_VIZINHOS);P25(TIPO_DISTANCIA);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Épocas);I5(Gerações);
28;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;10001;954472;44966;999437;
29;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;867581;40859;908439;
30;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;768950;36213;805162;
31;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;713185;33584;746768;
32;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;10001;616686;29051;645736;
33;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;1;10001;501125;23596;524720;
34;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;10001;504596;23775;528370;
35;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;2;10001;431877;20350;452226;
36;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;3;10001;422171;19896;442066;
37;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;3;10001;445109;20975;466083;
38;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;3;10001;408987;19275;428261;
39;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;3;10001;378330;17825;396154;
40;3:Algoritmo Evolutivo;2:PASSOS;1;10;1000000;20;100;50;1:Roleta;150;;;1:Idade;100;;1;1;3:Limpeza;0;;1:1-ponto;0;1:incDecValor;0;1:Hamming;3;10001;379320;17878;397197;
