sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;10;10;0;1:TVector;1;133;1;1;
2;2:Sort();0:nada;10;10;0;1:TVector;1;258;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;315;1;1;
4;2:Sort();0:nada;10;10;0;1:TVector;1;532;1;1;
5;2:Sort();0:nada;10;10;0;1:TVector;1;643;1;1;
6;2:Sort();0:nada;10;10;0;1:TVector;1;637;1;1;
7;2:Sort();0:nada;10;10;0;1:TVector;1;848;1;1;
8;2:Sort();0:nada;10;10;0;1:TVector;1;1162;1;1;
9;2:Sort();0:nada;10;10;0;1:TVector;1;1127;1;1;
10;2:Sort();0:nada;10;10;0;1:TVector;1;1404;1;1;
