sep=;
Instância;P1(Método);P2(NIVEL_DEBUG);P3(SEMENTE);P4(LIMITE_TEMPO);P5(LIMITE_ITERACOES);P6(ESTRUTURA_DADOS);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(IND_ORDENAR);
2;2:Sort();2:PASSOS;4;10;0;1:TVector;1;176;1;1;
6;2:Sort();2:PASSOS;4;10;0;1:TVector;1;527;1;1;
10;2:Sort();2:PASSOS;4;10;0;1:TVector;1;900;1;1;
4;2:Sort();2:PASSOS;5;10;0;1:TVector;1;371;1;1;
8;2:Sort();2:PASSOS;5;10;0;1:TVector;1;1046;1;1;
2;2:Sort();2:PASSOS;6;10;0;1:TVector;1;218;1;1;
6;2:Sort();2:PASSOS;6;10;0;1:TVector;1;669;1;1;
10;2:Sort();2:PASSOS;6;10;0;1:TVector;1;1238;1;1;
4;2:Sort();2:PASSOS;7;10;0;1:TVector;1;451;1;1;
8;2:Sort();2:PASSOS;7;10;0;1:TVector;1;941;1;1;
2;2:Sort();2:PASSOS;8;10;0;1:TVector;1;214;1;1;
6;2:Sort();2:PASSOS;8;10;0;1:TVector;1;642;1;1;
10;2:Sort();2:PASSOS;8;10;0;1:TVector;1;1227;1;1;
4;2:Sort();2:PASSOS;9;10;0;1:TVector;1;456;1;1;
8;2:Sort();2:PASSOS;9;10;0;1:TVector;1;1340;1;1;
2;2:Sort();2:PASSOS;10;10;0;1:TVector;1;249;1;1;
6;2:Sort();2:PASSOS;10;10;0;1:TVector;1;994;1;1;
10;2:Sort();2:PASSOS;10;10;0;1:TVector;1;1805;1;1;
