sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;10:operator=();0:nada;4;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;4;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;4;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;4;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;4;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;4;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;5;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;5;10;0;1:TVector;1;10;1;0;
1;2:Sort();0:nada;5;10;0;1:TVector;1;67;1;1;
3;2:Sort();0:nada;5;10;0;1:TVector;1;214;1;1;
1;3:RandomOrder();0:nada;5;10;0;1:TVector;1;6;1;0;
3;3:RandomOrder();0:nada;5;10;0;1:TVector;1;29;1;0;
1;4:Invert();0:nada;5;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;5;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;5;10;0;1:TVector;1;67;1;1;
3;5:BeASet();0:nada;5;10;0;1:TVector;1;227;1;1;
1;6:Difference();0:nada;5;10;0;1:TVector;1;143;1;1;
3;6:Difference();0:nada;5;10;0;1:TVector;1;501;1;1;
1;7:Union();0:nada;5;10;0;1:TVector;1;225;1;1;
3;7:Union();0:nada;5;10;0;1:TVector;1;712;1;1;
1;8:Contained();0:nada;5;10;0;1:TVector;1;135;1;1;
3;8:Contained();0:nada;5;10;0;1:TVector;1;428;1;1;
1;9:Intersection();0:nada;5;10;0;1:TVector;1;147;1;1;
3;9:Intersection();0:nada;5;10;0;1:TVector;1;482;1;1;
1;10:operator=();0:nada;5;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;5;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;5;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;5;10;0;1:TVector;1;1;1;0;
1;12:nada;0:nada;5;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;5;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;6;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;6;10;0;1:TVector;1;19;1;0;
1;2:Sort();0:nada;6;10;0;1:TVector;1;67;1;1;
3;2:Sort();0:nada;6;10;0;1:TVector;1;227;1;1;
1;3:RandomOrder();0:nada;6;10;0;1:TVector;1;6;1;0;
3;3:RandomOrder();0:nada;6;10;0;1:TVector;1;25;1;0;
1;4:Invert();0:nada;6;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;6;10;0;1:TVector;1;1;1;0;
1;5:BeASet();0:nada;6;10;0;1:TVector;1;71;1;1;
3;5:BeASet();0:nada;6;10;0;1:TVector;1;221;1;1;
1;6:Difference();0:nada;6;10;0;1:TVector;1;142;1;1;
3;6:Difference();0:nada;6;10;0;1:TVector;1;479;1;1;
1;7:Union();0:nada;6;10;0;1:TVector;1;224;1;1;
3;7:Union();0:nada;6;10;0;1:TVector;1;681;1;1;
1;8:Contained();0:nada;6;10;0;1:TVector;1;139;1;1;
3;8:Contained();0:nada;6;10;0;1:TVector;1;451;1;1;
1;9:Intersection();0:nada;6;10;0;1:TVector;1;227;1;1;
3;9:Intersection();0:nada;6;10;0;1:TVector;1;471;1;1;
1;10:operator=();0:nada;6;10;0;1:TVector;1;0;1;0;
3;10:operator=();0:nada;6;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;6;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;6;10;0;1:TVector;1;3;1;0;
1;12:nada;0:nada;6;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;6;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;7;10;0;1:TVector;1;6;1;0;
3;1:Add();0:nada;7;10;0;1:TVector;1;13;1;0;
1;2:Sort();0:nada;7;10;0;1:TVector;1;71;1;1;
3;2:Sort();0:nada;7;10;0;1:TVector;1;237;1;1;
1;3:RandomOrder();0:nada;7;10;0;1:TVector;1;7;1;0;
3;3:RandomOrder();0:nada;7;10;0;1:TVector;1;31;1;0;
1;4:Invert();0:nada;7;10;0;1:TVector;1;0;1;0;
3;4:Invert();0:nada;7;10;0;1:TVector;1;2;1;0;
1;5:BeASet();0:nada;7;10;0;1:TVector;1;71;1;1;
3;5:BeASet();0:nada;7;10;0;1:TVector;1;254;1;1;
1;6:Difference();0:nada;7;10;0;1:TVector;1;161;1;1;
3;6:Difference();0:nada;7;10;0;1:TVector;1;478;1;1;
1;7:Union();0:nada;7;10;0;1:TVector;1;228;1;1;
3;7:Union();0:nada;7;10;0;1:TVector;1;789;1;1;
1;8:Contained();0:nada;7;10;0;1:TVector;1;136;1;1;
3;8:Contained();0:nada;7;10;0;1:TVector;1;452;1;1;
1;9:Intersection();0:nada;7;10;0;1:TVector;1;156;1;1;
3;9:Intersection();0:nada;7;10;0;1:TVector;1;534;1;1;
1;10:operator=();0:nada;7;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;7;10;0;1:TVector;1;3;1;0;
1;11:operator+=();0:nada;7;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;7;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;7;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;7;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;8;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;8;10;0;1:TVector;1;11;1;0;
1;2:Sort();0:nada;8;10;0;1:TVector;1;67;1;1;
3;2:Sort();0:nada;8;10;0;1:TVector;1;242;1;1;
1;3:RandomOrder();0:nada;8;10;0;1:TVector;1;10;1;0;
3;3:RandomOrder();0:nada;8;10;0;1:TVector;1;34;1;0;
1;4:Invert();0:nada;8;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;8;10;0;1:TVector;1;2;1;0;
1;5:BeASet();0:nada;8;10;0;1:TVector;1;93;1;1;
3;5:BeASet();0:nada;8;10;0;1:TVector;1;237;1;1;
1;6:Difference();0:nada;8;10;0;1:TVector;1;158;1;1;
3;6:Difference();0:nada;8;10;0;1:TVector;1;538;1;1;
1;7:Union();0:nada;8;10;0;1:TVector;1;235;1;1;
3;7:Union();0:nada;8;10;0;1:TVector;1;778;1;1;
1;8:Contained();0:nada;8;10;0;1:TVector;1;155;1;1;
3;8:Contained();0:nada;8;10;0;1:TVector;1;495;1;1;
1;9:Intersection();0:nada;8;10;0;1:TVector;1;171;1;1;
3;9:Intersection();0:nada;8;10;0;1:TVector;1;486;1;1;
1;10:operator=();0:nada;8;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;8;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;8;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;8;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;8;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;8;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;9;10;0;1:TVector;1;3;1;0;
3;1:Add();0:nada;9;10;0;1:TVector;1;11;1;0;
1;2:Sort();0:nada;9;10;0;1:TVector;1;89;1;1;
3;2:Sort();0:nada;9;10;0;1:TVector;1;220;1;1;
1;3:RandomOrder();0:nada;9;10;0;1:TVector;1;6;1;0;
3;3:RandomOrder();0:nada;9;10;0;1:TVector;1;45;1;0;
1;4:Invert();0:nada;9;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;9;10;0;1:TVector;1;3;1;0;
1;5:BeASet();0:nada;9;10;0;1:TVector;1;75;1;1;
3;5:BeASet();0:nada;9;10;0;1:TVector;1;224;1;1;
1;6:Difference();0:nada;9;10;0;1:TVector;1;153;1;1;
3;6:Difference();0:nada;9;10;0;1:TVector;1;505;1;1;
1;7:Union();0:nada;9;10;0;1:TVector;1;212;1;1;
3;7:Union();0:nada;9;10;0;1:TVector;1;760;1;1;
1;8:Contained();0:nada;9;10;0;1:TVector;1;137;1;1;
3;8:Contained();0:nada;9;10;0;1:TVector;1;522;1;1;
1;9:Intersection();0:nada;9;10;0;1:TVector;1;163;1;1;
3;9:Intersection();0:nada;9;10;0;1:TVector;1;493;1;1;
1;10:operator=();0:nada;9;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;9;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;9;10;0;1:TVector;1;1;1;0;
3;11:operator+=();0:nada;9;10;0;1:TVector;1;4;1;0;
1;12:nada;0:nada;9;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;9;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;10;10;0;1:TVector;1;4;1;0;
3;1:Add();0:nada;10;10;0;1:TVector;1;12;1;0;
1;2:Sort();0:nada;10;10;0;1:TVector;1;81;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;263;1;1;
1;3:RandomOrder();0:nada;10;10;0;1:TVector;1;7;1;0;
3;3:RandomOrder();0:nada;10;10;0;1:TVector;1;41;1;0;
1;4:Invert();0:nada;10;10;0;1:TVector;1;1;1;0;
3;4:Invert();0:nada;10;10;0;1:TVector;1;2;1;0;
1;5:BeASet();0:nada;10;10;0;1:TVector;1;71;1;1;
3;5:BeASet();0:nada;10;10;0;1:TVector;1;245;1;1;
1;6:Difference();0:nada;10;10;0;1:TVector;1;170;1;1;
3;6:Difference();0:nada;10;10;0;1:TVector;1;595;1;1;
1;7:Union();0:nada;10;10;0;1:TVector;1;250;1;1;
3;7:Union();0:nada;10;10;0;1:TVector;1;766;1;1;
1;8:Contained();0:nada;10;10;0;1:TVector;1;137;1;1;
3;8:Contained();0:nada;10;10;0;1:TVector;1;476;1;1;
1;9:Intersection();0:nada;10;10;0;1:TVector;1;160;1;1;
3;9:Intersection();0:nada;10;10;0;1:TVector;1;480;1;1;
1;10:operator=();0:nada;10;10;0;1:TVector;1;1;1;0;
3;10:operator=();0:nada;10;10;0;1:TVector;1;2;1;0;
1;11:operator+=();0:nada;10;10;0;1:TVector;1;0;1;0;
3;11:operator+=();0:nada;10;10;0;1:TVector;1;2;1;0;
1;12:nada;0:nada;10;10;0;1:TVector;1;0;1;0;
3;12:nada;0:nada;10;10;0;1:TVector;1;0;1;0;
1;1:Add();0:nada;1;10;0;2:std::vector;1;3;1;0;
3;1:Add();0:nada;1;10;0;2:std::vector;1;10;1;0;
1;2:Sort();0:nada;1;10;0;2:std::vector;1;72;1;1;
3;2:Sort();0:nada;1;10;0;2:std::vector;1;255;1;1;
1;3:RandomOrder();0:nada;1;10;0;2:std::vector;1;10;1;0;
3;3:RandomOrder();0:nada;1;10;0;2:std::vector;1;44;1;0;
1;4:Invert();0:nada;1;10;0;2:std::vector;1;0;1;0;
3;4:Invert();0:nada;1;10;0;2:std::vector;1;0;1;0;
1;5:BeASet();0:nada;1;10;0;2:std::vector;1;144;1;1;
3;5:BeASet();0:nada;1;10;0;2:std::vector;1;266;1;1;
1;6:Difference();0:nada;1;10;0;2:std::vector;1;161;1;1;
3;6:Difference();0:nada;1;10;0;2:std::vector;1;567;1;1;
