sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
2;2:Sort();0:nada;10;10;0;1:TVector;1;160;1;1;
3;2:Sort();0:nada;10;10;0;1:TVector;1;251;1;1;
4;2:Sort();0:nada;10;10;0;1:TVector;1;322;1;1;
5;2:Sort();0:nada;10;10;0;1:TVector;1;412;1;1;
6;2:Sort();0:nada;10;10;0;1:TVector;1;498;1;1;
7;2:Sort();0:nada;10;10;0;1:TVector;1;606;1;1;
8;2:Sort();0:nada;10;10;0;1:TVector;1;686;1;1;
9;2:Sort();0:nada;10;10;0;1:TVector;1;845;1;1;
10;2:Sort();0:nada;10;10;0;1:TVector;1;919;1;1;
1;2:Sort();0:nada;1;10;0;2:std::vector;1;80;1;1;
2;2:Sort();0:nada;1;10;0;2:std::vector;1;167;1;1;
3;2:Sort();0:nada;1;10;0;2:std::vector;1;243;1;1;
4;2:Sort();0:nada;1;10;0;2:std::vector;1;329;1;1;
5;2:Sort();0:nada;1;10;0;2:std::vector;1;417;1;1;
6;2:Sort();0:nada;1;10;0;2:std::vector;1;812;1;1;
7;2:Sort();0:nada;1;10;0;2:std::vector;1;651;1;1;
8;2:Sort();0:nada;1;10;0;2:std::vector;1;835;1;1;
9;2:Sort();0:nada;1;10;0;2:std::vector;1;931;1;1;
10;2:Sort();0:nada;1;10;0;2:std::vector;1;894;1;1;
1;2:Sort();0:nada;2;10;0;2:std::vector;1;73;1;1;
2;2:Sort();0:nada;2;10;0;2:std::vector;1;154;1;1;
3;2:Sort();0:nada;2;10;0;2:std::vector;1;243;1;1;
4;2:Sort();0:nada;2;10;0;2:std::vector;1;321;1;1;
5;2:Sort();0:nada;2;10;0;2:std::vector;1;411;1;1;
6;2:Sort();0:nada;2;10;0;2:std::vector;1;674;1;1;
7;2:Sort();0:nada;2;10;0;2:std::vector;1;777;1;1;
8;2:Sort();0:nada;2;10;0;2:std::vector;1;800;1;1;
9;2:Sort();0:nada;2;10;0;2:std::vector;1;859;1;1;
10;2:Sort();0:nada;2;10;0;2:std::vector;1;1074;1;1;
1;2:Sort();0:nada;3;10;0;2:std::vector;1;127;1;1;
2;2:Sort();0:nada;3;10;0;2:std::vector;1;205;1;1;
3;2:Sort();0:nada;3;10;0;2:std::vector;1;274;1;1;
4;2:Sort();0:nada;3;10;0;2:std::vector;1;393;1;1;
5;2:Sort();0:nada;3;10;0;2:std::vector;1;448;1;1;
6;2:Sort();0:nada;3;10;0;2:std::vector;1;572;1;1;
7;2:Sort();0:nada;3;10;0;2:std::vector;1;731;1;1;
8;2:Sort();0:nada;3;10;0;2:std::vector;1;837;1;1;
9;2:Sort();0:nada;3;10;0;2:std::vector;1;1098;1;1;
10;2:Sort();0:nada;3;10;0;2:std::vector;1;1413;1;1;
1;2:Sort();0:nada;4;10;0;2:std::vector;1;109;1;1;
2;2:Sort();0:nada;4;10;0;2:std::vector;1;336;1;1;
3;2:Sort();0:nada;4;10;0;2:std::vector;1;400;1;1;
4;2:Sort();0:nada;4;10;0;2:std::vector;1;547;1;1;
5;2:Sort();0:nada;4;10;0;2:std::vector;1;689;1;1;
6;2:Sort();0:nada;4;10;0;2:std::vector;1;936;1;1;
7;2:Sort();0:nada;4;10;0;2:std::vector;1;1103;1;1;
8;2:Sort();0:nada;4;10;0;2:std::vector;1;1189;1;1;
9;2:Sort();0:nada;4;10;0;2:std::vector;1;1495;1;1;
10;2:Sort();0:nada;4;10;0;2:std::vector;1;1325;1;1;
1;2:Sort();0:nada;5;10;0;2:std::vector;1;181;1;1;
2;2:Sort();0:nada;5;10;0;2:std::vector;1;295;1;1;
3;2:Sort();0:nada;5;10;0;2:std::vector;1;490;1;1;
4;2:Sort();0:nada;5;10;0;2:std::vector;1;611;1;1;
5;2:Sort();0:nada;5;10;0;2:std::vector;1;879;1;1;
6;2:Sort();0:nada;5;10;0;2:std::vector;1;960;1;1;
7;2:Sort();0:nada;5;10;0;2:std::vector;1;926;1;1;
8;2:Sort();0:nada;5;10;0;2:std::vector;1;1443;1;1;
9;2:Sort();0:nada;5;10;0;2:std::vector;1;1344;1;1;
10;2:Sort();0:nada;5;10;0;2:std::vector;1;1601;1;1;
1;2:Sort();0:nada;6;10;0;2:std::vector;1;69;1;1;
2;2:Sort();0:nada;6;10;0;2:std::vector;1;153;1;1;
3;2:Sort();0:nada;6;10;0;2:std::vector;1;237;1;1;
4;2:Sort();0:nada;6;10;0;2:std::vector;1;316;1;1;
5;2:Sort();0:nada;6;10;0;2:std::vector;1;409;1;1;
6;2:Sort();0:nada;6;10;0;2:std::vector;1;508;1;1;
7;2:Sort();0:nada;6;10;0;2:std::vector;1;604;1;1;
8;2:Sort();0:nada;6;10;0;2:std::vector;1;711;1;1;
9;2:Sort();0:nada;6;10;0;2:std::vector;1;802;1;1;
10;2:Sort();0:nada;6;10;0;2:std::vector;1;853;1;1;
1;2:Sort();0:nada;7;10;0;2:std::vector;1;70;1;1;
2;2:Sort();0:nada;7;10;0;2:std::vector;1;164;1;1;
3;2:Sort();0:nada;7;10;0;2:std::vector;1;255;1;1;
4;2:Sort();0:nada;7;10;0;2:std::vector;1;315;1;1;
5;2:Sort();0:nada;7;10;0;2:std::vector;1;411;1;1;
6;2:Sort();0:nada;7;10;0;2:std::vector;1;529;1;1;
7;2:Sort();0:nada;7;10;0;2:std::vector;1;611;1;1;
8;2:Sort();0:nada;7;10;0;2:std::vector;1;733;1;1;
9;2:Sort();0:nada;7;10;0;2:std::vector;1;783;1;1;
10;2:Sort();0:nada;7;10;0;2:std::vector;1;834;1;1;
1;2:Sort();0:nada;8;10;0;2:std::vector;1;81;1;1;
2;2:Sort();0:nada;8;10;0;2:std::vector;1;152;1;1;
3;2:Sort();0:nada;8;10;0;2:std::vector;1;235;1;1;
4;2:Sort();0:nada;8;10;0;2:std::vector;1;325;1;1;
5;2:Sort();0:nada;8;10;0;2:std::vector;1;424;1;1;
6;2:Sort();0:nada;8;10;0;2:std::vector;1;493;1;1;
7;2:Sort();0:nada;8;10;0;2:std::vector;1;597;1;1;
8;2:Sort();0:nada;8;10;0;2:std::vector;1;725;1;1;
9;2:Sort();0:nada;8;10;0;2:std::vector;1;810;1;1;
10;2:Sort();0:nada;8;10;0;2:std::vector;1;837;1;1;
1;2:Sort();0:nada;9;10;0;2:std::vector;1;78;1;1;
2;2:Sort();0:nada;9;10;0;2:std::vector;1;168;1;1;
3;2:Sort();0:nada;9;10;0;2:std::vector;1;229;1;1;
4;2:Sort();0:nada;9;10;0;2:std::vector;1;340;1;1;
5;2:Sort();0:nada;9;10;0;2:std::vector;1;410;1;1;
6;2:Sort();0:nada;9;10;0;2:std::vector;1;497;1;1;
7;2:Sort();0:nada;9;10;0;2:std::vector;1;605;1;1;
8;2:Sort();0:nada;9;10;0;2:std::vector;1;742;1;1;
9;2:Sort();0:nada;9;10;0;2:std::vector;1;774;1;1;
10;2:Sort();0:nada;9;10;0;2:std::vector;1;900;1;1;
1;2:Sort();0:nada;10;10;0;2:std::vector;1;82;1;1;
2;2:Sort();0:nada;10;10;0;2:std::vector;1;174;1;1;
3;2:Sort();0:nada;10;10;0;2:std::vector;1;258;1;1;
4;2:Sort();0:nada;10;10;0;2:std::vector;1;459;1;1;
5;2:Sort();0:nada;10;10;0;2:std::vector;1;517;1;1;
6;2:Sort();0:nada;10;10;0;2:std::vector;1;519;1;1;
7;2:Sort();0:nada;10;10;0;2:std::vector;1;616;1;1;
8;2:Sort();0:nada;10;10;0;2:std::vector;1;692;1;1;
9;2:Sort();0:nada;10;10;0;2:std::vector;1;822;1;1;
10;2:Sort();0:nada;10;10;0;2:std::vector;1;947;1;1;
1;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;72;1;1;
2;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;163;1;1;
3;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;251;1;1;
4;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;341;1;1;
5;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;420;1;1;
6;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;499;1;1;
7;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;644;1;1;
8;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;719;1;1;
9;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;790;1;1;
10;2:Sort();0:nada;1;10;0;3:TVector/std::algorithm;1;878;1;1;
1;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;82;1;1;
2;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;177;1;1;
3;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;240;1;1;
4;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;321;1;1;
5;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;411;1;1;
6;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;514;1;1;
7;2:Sort();0:nada;2;10;0;3:TVector/std::algorithm;1;629;1;1;
