sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
24;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;24;309;0;411608;411755;0;
26;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;26;323;0;397699;397880;0;
28;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;28;2537;0;3006298;3006508;0;
30;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-2;10001;0;10677294;10677541;0;
32;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-2;10001;0;9980585;9980864;0;
34;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-2;10001;0;9346319;9346634;0;
36;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-2;10001;0;8628941;8629300;0;
38;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-2;10001;0;7673544;7673946;0;
40;3:Profundidade Primeiro;0:nada;1;10;0;4;-1;1:ignorar;100;0;0;-2;10001;0;7353868;7354323;0;
