sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
954;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;42;0;74;42;74;0;
955;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;43;0;76;43;76;0;
956;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;44;0;79;44;79;0;
957;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;43;0;76;43;76;0;
958;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;44;0;77;44;77;0;
959;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;43;0;76;43;76;0;
960;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;44;0;77;44;77;0;
961;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;43;0;76;43;76;0;
962;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;44;0;79;44;79;0;
963;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;221;0;393;222;393;0;
964;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;220;0;391;221;391;0;
965;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;221;1;393;222;393;0;
966;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;386;1;676;389;676;0;
967;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;223;1;396;224;396;0;
968;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;386;1;676;389;676;0;
969;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;223;0;396;224;396;0;
970;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;384;1;673;387;673;0;
971;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;223;0;396;224;396;0;
972;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;224;1;397;225;397;0;
973;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;395;1;692;398;692;0;
974;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;224;1;397;225;397;0;
975;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;395;1;692;398;692;0;
976;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;224;0;397;225;397;0;
977;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;223;0;396;224;396;0;
978;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;386;1;676;389;676;0;
979;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;221;0;393;222;393;0;
980;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;44;0;79;44;79;0;
981;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;459;2;821;463;821;0;
982;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;460;1;822;464;822;0;
983;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;405;1;720;408;720;0;
984;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;404;1;718;407;718;0;
985;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;405;2;720;408;720;0;
986;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;196;1;350;198;350;0;
987;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;405;1;720;408;720;0;
988;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;196;0;350;198;350;0;
989;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;405;1;720;408;720;0;
990;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;196;0;350;198;350;0;
991;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;405;1;720;408;720;0;
992;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;404;1;718;407;718;0;
993;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;259;0;460;261;460;0;
994;4:Melhor Primeiro;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;246;0;433;248;433;0;
