sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
5;6:IDA*;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;23;4;5022;2755;5021;24;
6;6:IDA*;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;9;1;463;235;462;10;
7;6:IDA*;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;22;3;3587;1939;3586;23;
8;6:IDA*;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;10;1;769;52;768;11;
9;6:IDA*;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;1;3010;209;3009;3;
10;6:IDA*;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;40;7;49604;833;49603;41;
1;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;4;0;10;7;10;41;
2;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;0;96;24;96;41;
3;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;5;0;60;11;60;41;
4;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;24;0;64;32;64;41;
5;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;23;13;9301;5558;9301;41;
6;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;9;3;1585;859;1585;41;
7;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;22;15;10705;6311;10705;41;
8;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;10;3;15199;1075;15199;41;
9;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;2;9;30555;2122;30555;41;
10;7:Branch and Bound;0:nada;1;10;1000000;1;0;1:ignorar;100;0;0;40;33;163211;2849;163211;41;
